company,email,industry,website,founded_year,location
TechCorp,contact@techcorp.com,SaaS,https://www.techcorp.com ,2015,San Francisco, USA
InnovateX,sales@innovatex.com,FinTech,https://www.innovatex.com ,2018,New York, USA
CloudWorks,info@cloudworks.com,HealthTech,https://www.cloudworks.com ,2020,London, UK
DataFlow,hello@dataflow.com,SaaS,https://www.dataflow.com ,2017,Berlin, Germany
AIStart,team@aistart.com,M&A,https://www.aistart.com ,2022,Toronto, Canada
SaaSolutions,support@saasolutions.com,SaaS,https://www.saasolutions.com ,2019,Sydney, Australia
FinBridge,contact@finbridge.com,FinTech,https://www.finbridge.com ,2021,Dubai, UAE
HealthSync,info@healthsync.com,HealthTech,https://www.healthsync.com ,2016,Singapore
MergersHub,hello@mersershub.com,M&A,https://www.mersershub.com ,2023,Zurich, Switzerland
Edvantage,sales@edvantage.com,EdTech,https://www.edvantage.com ,2020,Boston, USA
